id,description,category,amount,currency,transaction_date
csv-001,Groceries,Food,84.25,EUR,2026-05-01
csv-002,Train ticket,Transport,18.50,EUR,2026-05-03
csv-003,Book,Education,32.99,EUR,2026-05-04
csv-004,Invalid amount,Food,not-a-number,EUR,2026-05-05
csv-005,Negative amount,Food,-50.00,EUR,2026-05-06
csv-006,Unsupported currency,Travel,120.00,GBP,2026-05-07
csv-007,Invalid date,Utilities,89.99,EUR,not-a-date
csv-008,Missing category,,42.50,EUR,2026-05-08
csv-009,Missing amount,Food,,EUR,2026-05-09
csv-010,Missing currency,Shopping,25.00,,2026-05-10
